"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Xander Schauffele",6100,"Golf@Golf 05:00AM ET",34.500,"Golf"
"G","Retief Goosen",6100,"Golf@Golf 05:00AM ET",21.000,"Golf"
"G","Ben Crane",6100,"Golf@Golf 05:00AM ET",36.750,"Golf"
"G","John Peterson",6100,"Golf@Golf 05:00AM ET",47.500,"Golf"
"G","Ryan Armour",6100,"Golf@Golf 05:00AM ET",68.500,"Golf"
"G","Chad Collins",6100,"Golf@Golf 05:00AM ET",42.000,"Golf"
"G","Brad Fritsch",6100,"Golf@Golf 05:00AM ET",51.500,"Golf"
"G","Beau Hossler",6100,"Golf@Golf 05:00AM ET",0,"Golf"
"G","J.J. Henry",6100,"Golf@Golf 05:00AM ET",39.500,"Golf"
"G","Kelly Kraft",6100,"Golf@Golf 05:00AM ET",64.000,"Golf"
"G","Whee Kim",6100,"Golf@Golf 05:00AM ET",72.250,"Golf"
"G","Bryce Molder",6100,"Golf@Golf 05:00AM ET",79.000,"Golf"
"G","Kevin Tway",6100,"Golf@Golf 05:00AM ET",29.250,"Golf"
"G","Seamus Power",6100,"Golf@Golf 05:00AM ET",77.000,"Golf"
"G","Brett Drewitt",6100,"Golf@Golf 05:00AM ET",46.500,"Golf"
"G","JT Poston",6100,"Golf@Golf 05:00AM ET",74.500,"Golf"
"G","Gonzalo Fdez-Castano",6000,"Golf@Golf 05:00AM ET",61.000,"Golf"
"G","Nick Taylor",6000,"Golf@Golf 05:00AM ET",54.000,"Golf"
"G","Greg Chalmers",6000,"Golf@Golf 05:00AM ET",55.500,"Golf"
"G","Steve Marino",6000,"Golf@Golf 05:00AM ET",36.500,"Golf"
"G","Brandon Hagy",6000,"Golf@Golf 05:00AM ET",56.000,"Golf"
"G","Nicholas Lindheim",6000,"Golf@Golf 05:00AM ET",43.500,"Golf"
"G","Tag Ridings",6000,"Golf@Golf 05:00AM ET",58.000,"Golf"
"G","Will MacKenzie",6000,"Golf@Golf 05:00AM ET",36.000,"Golf"
"G","Brian Campbell",6000,"Golf@Golf 05:00AM ET",77.000,"Golf"
"G","Stuart Appleby",6000,"Golf@Golf 05:00AM ET",0,"Golf"
"G","Ken Duke",6000,"Golf@Golf 05:00AM ET",69.000,"Golf"
"G","Matt Every",6000,"Golf@Golf 05:00AM ET",33.750,"Golf"
"G","Kyle Stanley",6000,"Golf@Golf 05:00AM ET",79.500,"Golf"
"G","Chris Gilley",6000,"Golf@Golf 05:00AM ET",0,"Golf"
"G","Cameron Percy",6000,"Golf@Golf 05:00AM ET",48.250,"Golf"
"G","Tim Wilkinson",6000,"Golf@Golf 05:00AM ET",81.000,"Golf"
"G","Brett Stegmaier",6000,"Golf@Golf 05:00AM ET",49.500,"Golf"
"G","Sebastian Munoz",6000,"Golf@Golf 05:00AM ET",49.500,"Golf"
